Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,6.47,,7.42,,ru,7.77 (6.47) (8.01) 7.49 6.99,3x3x3 Cube Second round,1,2022
2,Staš Zupanc,7.34,,7.62,NR,si,(9.24) 7.43 (7.34) 7.77 7.65,3x3x3 Cube Second round,1,2022
3,Bálint Csengő,7.61,,8.25,,hu,8.13 (7.61) 8.64 7.97 (8.70),3x3x3 Cube Second round,1,2022
4,Marcel Ručigaj,7.56,,8.66,,si,(9.76) 8.05 8.35 9.59 (7.56),3x3x3 Cube Second round,1,2022
5,Gergely Novotni,7.01,,8.89,,hu,8.32 9.31 (7.01) (9.42) 9.04,3x3x3 Cube Second round,1,2022
6,Kristóf Veres,7.71,,9.44,,hu,(7.71) 9.32 (11.14) 10.20 8.80,3x3x3 Cube Second round,1,2022
7,Szabolcs Szántai,8.44,,9.51,,hu,9.28 (8.44) 10.12 (10.44) 9.13,3x3x3 Cube Second round,1,2022
8,Matic Omulec,8.72,,9.57,,si,9.46 9.64 (11.14) (8.72) 9.61,3x3x3 Cube Second round,1,2022
9,Bence Barát,8.93,,10.24,,hu,9.22 (8.93) 11.31 10.20 (12.59),3x3x3 Cube Second round,1,2022
10,Benedek Zimányi,8.54,,10.59,,hu,10.74 9.15 (8.54) 11.87 (12.32),3x3x3 Cube Second round,1,2022
11,Jakov Srečković,9.47,,10.87,,hr,11.74 (9.47) 11.17 9.70 (12.06),3x3x3 Cube Second round,1,2022
12,Jakob Kitak,9.68,,10.93,,si,11.37 (12.89) (9.68) 9.93 11.50,3x3x3 Cube Second round,1,2022
13,Benedek Hirth,10.55,,11.31,,hu,11.88 11.00 11.06 (12.51) (10.55),3x3x3 Cube Second round,1,2022
14,Marko Grabner,10.24,,11.37,,si,(10.24) 11.54 12.33 10.25 (13.72),3x3x3 Cube Second round,1,2022
15,Bence Kiácz,10.53,,11.61,,hu,11.57 12.44 (10.53) (13.45) 10.82,3x3x3 Cube Second round,1,2022
16,Alwin Federsel,8.80,,11.87,,at,(8.80) 10.56 11.87 13.18 (DNF),3x3x3 Cube Second round,1,2022
17,Alexander Tenev,9.60,,12.08,,bg,(9.60) 10.78 13.77 11.69 (DNF),3x3x3 Cube Second round,1,2022
18,David Šiška,10.24,,12.37,,si,(10.24) 13.24 12.33 (DNF) 11.54,3x3x3 Cube Second round,1,2022
19,Felix Strasser,10.76,,12.62,,at,11.76 11.73 14.38 (10.76) (DNF),3x3x3 Cube Second round,1,2022
20,Erik Červek Roškarič,9.19,,12.82,,si,12.76 13.74 (15.14) (9.19) 11.95,3x3x3 Cube Second round,1,2022
21,Dániel Varga,12.42,,12.98,,hu,(16.14) 13.29 12.96 12.69 (12.42),3x3x3 Cube Second round,1,2022
22,Tarik Gutlić,10.24,,13.04,,ba,13.65 11.42 14.06 (10.24) (14.52),3x3x3 Cube Second round,1,2022
23,Konstantin Jaehne,12.92,,13.12,,de,13.01 13.22 13.12 (12.92) (13.93),3x3x3 Cube Second round,1,2022
24,Marcel Niedl,11.00,,13.28,,at,(11.00) 12.75 13.65 (14.66) 13.45,3x3x3 Cube Second round,1,2022
25,Filip Aleksić,11.51,,13.67,,ba,14.77 14.69 (11.51) 11.54 (15.31),3x3x3 Cube Second round,1,2022
26,Ádám Szabó,11.54,,14.16,,hu,(15.02) 14.41 14.50 13.58 (11.54),3x3x3 Cube Second round,1,2022
27,Giovanni Maistrello,13.36,,14.16,,it,13.79 14.48 (13.36) 14.21 (22.31),3x3x3 Cube Second round,1,2022
28,Maksim Rozman,13.42,,14.40,,si,(13.42) (16.39) 14.10 15.12 13.99,3x3x3 Cube Second round,1,2022
29,Enej Rupnik,9.93,,14.51,,si,14.00 (20.09) 15.52 (9.93) 14.02,3x3x3 Cube Second round,1,2022
30,Filip Premužić,13.53,,14.92,,hr,16.06 13.61 (17.77) 15.09 (13.53),3x3x3 Cube Second round,1,2022
31,Sven Eder,12.55,,15.19,,hr,15.53 (12.55) 16.76 13.27 (17.59),3x3x3 Cube Second round,1,2022
32,Gergely Faragó,13.57,,15.21,,hu,15.23 16.31 14.08 (13.57) (19.74),3x3x3 Cube Second round,1,2022
